MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition
30,3,67.0,8777,1,3,3,0,3,0,7,1,1,1,3,6,1910,1950,1,0,6,1,0.0,3,3,1,1,3,3,5,0,5,796,796,0,2,1,0,0,0,796,0,0,1,0,2,0,3,5,0,2,1,2,0,4,4,1,328,0,164,0,0,0,0,5,2,6,4
20,3,90.0,11988,1,0,3,0,0,0,12,1,1,1,4,5,1957,1957,1,0,9,1,0.0,3,3,1,3,3,3,4,777,5,467,1244,0,0,1,0,0,0,1244,0,0,1,1,3,0,3,5,2,2,1,2,1,4,4,2,0,40,0,0,0,0,0,5,1,6,4
30,3,50.0,6305,1,3,0,0,3,0,6,2,1,1,3,6,1938,1950,1,0,6,1,0.0,3,2,2,1,0,3,5,0,5,920,920,0,0,1,3,0,0,954,0,0,1,0,2,0,1,5,1,2,2,2,1,1,4,2,0,0,0,0,0,0,0,6,1,6,4
60,3,67.0,9531,1,0,3,0,1,0,5,2,1,4,4,4,1998,1998,1,0,9,1,0.0,3,3,2,2,3,2,2,706,5,88,794,0,0,1,3,914,0,1796,1,0,2,1,3,0,3,5,0,2,1,1,2,4,4,2,0,36,0,0,0,0,0,5,1,6,4
85,3,85.0,10625,1,3,3,0,3,0,14,2,1,5,5,5,1974,1974,1,0,7,1,81.0,3,3,1,2,3,1,2,885,3,0,1053,0,3,1,3,0,0,1173,1,0,2,0,3,0,2,5,2,4,1,1,2,4,4,2,0,120,0,0,0,0,0,1,4,6,3
20,3,80.0,8892,1,0,3,0,3,0,12,2,1,1,3,4,1960,1960,1,0,6,0,66.0,3,3,1,3,3,3,5,0,5,1065,1065,0,2,1,3,0,0,1065,0,0,1,1,3,0,3,5,0,2,5,2,2,4,4,2,74,0,0,0,0,0,0,7,1,0,4
60,3,65.0,8200,1,3,3,0,3,0,5,2,1,4,5,4,2003,2004,1,0,9,1,0.0,2,3,2,2,3,3,5,0,5,847,847,0,0,1,3,1081,0,1928,0,0,2,1,4,0,2,5,1,2,3,0,2,4,4,2,100,48,0,0,0,0,0,7,1,6,4
20,3,137.0,16492,1,0,3,0,0,0,12,3,1,1,4,5,1966,2002,1,0,2,1,0.0,2,3,1,3,3,3,0,247,4,557,1517,0,0,1,3,0,0,1888,0,0,2,1,2,0,2,4,1,2,1,0,2,4,4,2,0,0,0,0,0,0,0,6,4,6,4
50,3,138.0,18030,1,0,0,0,3,0,4,2,1,0,3,5,1946,1994,1,0,6,1,0.0,3,3,1,3,3,3,4,152,1,977,1598,0,3,1,3,971,6,3086,0,0,3,0,3,0,0,0,1,2,1,2,0,4,4,2,122,0,0,0,0,0,0,3,1,6,4
90,2,82.0,7136,1,0,1,0,3,0,6,2,1,4,4,5,1946,1950,1,0,6,1,423.0,3,3,1,2,3,3,4,484,5,495,979,0,3,0,1,979,0,1958,0,0,2,0,4,1,3,5,0,2,1,2,2,4,4,2,0,0,0,0,0,0,0,8,1,6,4
50,3,60.0,10998,1,3,3,0,3,0,7,2,1,0,3,4,1941,1960,1,0,10,1,0.0,3,3,1,3,3,3,3,408,1,156,984,0,0,1,3,620,0,1604,0,0,2,0,3,0,3,3,0,2,5,2,2,4,4,2,0,68,0,0,0,0,0,7,3,6,4
30,4,60.0,7200,1,3,3,0,3,0,17,2,1,1,3,3,1910,2006,3,0,6,1,0.0,3,3,0,3,3,3,0,247,4,310,1022,1,3,0,3,0,0,1022,1,0,1,0,2,0,3,1,0,2,5,2,1,4,4,2,0,30,226,0,0,0,0,6,3,6,4
20,3,88.0,12803,1,0,3,0,3,0,5,2,1,1,5,4,2002,2002,1,0,9,1,99.0,2,3,2,2,3,2,2,922,5,572,1494,0,0,1,3,0,0,1494,1,0,2,0,3,0,2,5,1,4,1,1,2,4,4,2,192,36,0,0,0,0,0,9,2,6,4
180,4,35.0,3675,1,3,3,0,3,0,7,2,1,6,4,4,2005,2005,1,0,9,1,80.0,3,3,2,2,3,1,2,459,5,88,547,0,0,1,3,0,0,1072,1,0,1,0,2,0,3,5,0,2,2,1,2,4,4,2,0,28,0,0,0,0,0,6,2,6,4
120,4,67.0,4426,1,3,3,0,3,0,5,2,1,1,4,4,2004,2004,1,0,9,1,147.0,2,3,2,2,3,0,2,697,5,151,848,0,0,1,3,0,0,848,1,0,1,0,1,0,2,5,1,4,1,1,2,4,4,2,149,0,0,0,0,0,0,5,2,6,4
20,3,86.0,14157,1,0,1,0,0,0,22,2,1,1,7,4,2005,2006,3,0,9,2,200.0,2,3,2,0,3,1,2,1249,5,673,1922,0,0,1,3,0,0,1922,1,0,2,0,3,0,2,5,1,2,1,0,3,4,4,2,178,51,0,0,0,0,0,7,1,6,4
20,3,40.0,13673,1,0,3,0,1,0,19,5,1,1,3,4,1962,1962,1,0,4,1,0.0,3,2,1,3,3,3,5,0,5,1140,1140,0,3,1,3,0,0,1696,0,0,1,1,3,0,3,3,1,4,1,1,1,4,4,2,0,30,0,0,0,0,0,3,1,6,4
20,3,67.0,16381,1,0,3,0,3,0,6,2,1,1,4,4,1969,1969,1,0,7,1,312.0,2,2,1,3,3,0,4,1110,5,734,1844,0,2,1,3,0,0,1844,1,0,2,0,3,0,2,5,1,4,1,1,2,4,4,2,0,73,216,0,0,0,0,12,0,6,4
20,3,78.0,7800,1,3,0,0,3,1,7,2,1,4,3,7,1948,2002,1,0,6,1,0.0,3,2,1,3,1,3,2,603,5,293,896,0,0,1,3,896,0,2008,1,0,3,0,3,0,0,5,0,2,1,2,1,4,4,2,103,0,0,0,0,0,0,8,0,6,4
30,3,67.0,10020,1,0,2,0,3,2,7,2,1,1,0,0,1922,1950,1,0,10,1,0.0,1,1,0,1,2,1,1,350,5,333,683,0,2,0,0,0,0,904,1,0,0,1,1,0,1,0,0,2,1,2,0,4,4,2,0,0,0,0,0,0,0,3,3,6,4
20,3,50.0,9405,1,3,3,0,3,0,7,2,1,1,3,8,1947,2008,3,0,9,1,0.0,3,0,1,3,3,3,5,0,5,698,698,0,0,1,3,0,0,698,0,1,1,0,2,0,3,5,0,2,1,2,0,4,4,2,0,200,0,0,0,0,0,6,3,6,4
20,3,76.0,9158,1,3,3,0,3,0,21,2,1,1,6,4,2007,2007,1,0,3,2,140.0,2,3,2,2,3,0,5,0,5,1496,1496,0,0,1,3,0,0,1496,0,0,2,0,3,0,2,5,0,2,1,0,2,4,4,2,168,130,0,0,0,0,0,6,1,4,5
120,3,53.0,4043,1,3,3,0,3,0,13,2,1,1,4,4,1977,1977,1,0,7,1,0.0,3,3,1,2,3,3,0,360,5,709,1069,0,3,1,3,0,0,1069,0,0,2,0,2,0,3,5,1,1,1,1,2,4,4,2,0,55,0,0,165,0,0,7,4,6,4
70,4,57.0,9906,1,3,3,0,3,0,17,2,1,4,2,3,1925,1950,1,0,6,1,0.0,3,3,1,3,3,3,5,0,5,686,686,0,1,0,3,518,0,1328,0,0,1,0,3,0,3,5,0,2,5,2,1,4,4,2,0,172,60,0,0,0,0,9,0,6,3
30,4,60.0,10800,1,3,3,0,3,0,17,2,1,1,2,6,1885,1995,4,0,9,1,0.0,3,3,0,1,3,3,5,0,5,641,641,0,2,1,3,0,0,1047,0,0,1,0,2,0,3,5,0,2,5,2,1,1,1,0,0,0,0,0,0,0,2,8,1,6,4
120,1,59.0,4282,1,1,3,0,3,0,21,2,1,1,5,4,2004,2004,1,0,6,1,0.0,2,3,2,2,3,2,2,16,5,1375,1391,0,0,1,3,0,0,1391,0,0,2,0,2,0,2,5,0,2,1,1,2,4,4,2,156,158,0,0,0,0,0,7,2,6,4
60,3,67.0,11885,1,3,3,0,3,0,5,2,1,4,6,4,2001,2001,1,0,9,1,108.0,2,3,2,2,3,0,2,990,5,309,1299,0,0,1,3,573,0,1872,1,0,2,1,3,0,0,5,1,4,3,1,2,4,4,2,160,122,0,0,0,0,0,11,3,6,4
190,4,60.0,6780,1,3,3,0,3,0,9,2,1,0,4,7,1935,1982,1,0,10,1,0.0,3,1,1,3,3,0,2,490,5,30,520,0,2,0,3,0,2,754,1,0,1,0,2,0,3,5,0,2,1,2,0,4,4,0,53,0,0,0,0,0,0,6,0,6,4
60,3,80.0,10240,1,3,3,0,3,0,16,2,1,4,6,4,2005,2005,1,0,9,1,178.0,2,3,2,2,3,2,5,0,5,1030,1030,0,2,1,3,1060,0,2098,0,0,2,1,3,0,0,5,1,2,1,1,3,4,4,2,192,52,0,0,0,0,0,3,0,6,4
190,3,107.0,10615,1,0,0,0,0,1,17,0,0,4,1,4,1900,1970,1,0,4,1,0.0,3,3,1,1,3,2,1,440,5,538,978,0,3,1,3,685,0,1699,1,0,2,0,3,1,3,5,0,2,4,2,2,1,1,2,0,74,0,0,0,0,0,8,3,6,0
20,3,60.0,8281,1,0,3,0,3,0,19,2,1,1,3,4,1965,1965,1,0,6,1,0.0,3,3,1,3,3,3,4,553,1,0,864,0,2,1,3,0,0,864,0,0,1,0,3,0,3,5,1,3,5,2,1,4,4,2,0,0,236,0,0,0,0,12,3,6,4
50,4,50.0,6000,1,3,3,0,3,0,17,2,1,0,1,6,1948,2002,1,0,6,1,0.0,3,2,1,3,3,3,0,331,5,318,649,0,0,1,3,504,0,1183,0,0,1,1,2,0,3,5,0,2,5,2,1,4,4,2,0,176,0,0,0,0,0,6,1,6,4
20,3,75.0,13125,1,3,3,0,3,1,5,2,1,1,4,4,1997,1998,1,0,9,1,215.0,3,3,2,2,3,1,2,994,5,484,1478,0,0,1,3,0,0,1493,1,0,2,0,3,0,2,5,1,4,1,0,2,4,4,2,140,39,0,0,0,0,0,4,2,6,4
20,3,60.0,8089,1,3,1,0,3,0,22,2,1,1,6,5,2007,2007,1,0,6,1,0.0,2,3,2,2,3,0,2,945,5,474,1419,0,0,1,3,0,0,1419,1,0,2,0,2,0,2,5,1,2,1,1,2,4,4,2,140,0,0,0,0,0,0,10,1,4,5
60,3,67.0,13346,1,0,3,0,1,0,15,2,1,4,5,4,1992,2000,1,0,4,1,0.0,2,3,2,2,3,3,2,728,5,367,1095,0,0,1,3,1129,0,2295,1,0,2,1,4,0,2,5,1,4,1,1,2,4,4,2,0,40,0,0,0,0,0,7,0,6,4
50,3,51.0,4712,1,0,3,0,3,1,3,1,1,0,2,6,1946,1950,1,0,6,1,0.0,3,3,1,3,3,3,0,384,5,363,747,0,3,1,3,456,0,1230,1,0,1,1,3,0,3,5,0,2,5,2,1,4,4,2,0,57,0,0,63,0,0,8,0,6,0
50,3,60.0,10134,1,3,3,0,3,0,17,2,1,0,3,5,1940,1950,1,0,6,1,0.0,3,3,1,3,3,3,5,0,5,735,735,0,2,1,0,299,0,1034,0,0,1,0,2,0,3,5,0,2,5,2,1,4,4,2,0,39,0,0,0,0,0,7,1,6,4
50,4,63.0,5000,1,3,3,0,0,0,17,2,1,0,3,3,1900,1950,1,0,10,1,0.0,3,3,0,3,3,3,5,0,5,540,540,0,2,0,0,551,0,1440,0,0,1,0,3,0,3,5,0,2,1,2,1,1,4,2,0,0,77,0,0,0,0,4,0,6,4
20,3,75.0,11235,1,3,3,0,3,0,19,2,1,1,2,4,1963,1979,1,0,4,1,51.0,3,3,1,3,3,3,4,547,5,504,1051,0,2,1,3,0,0,1382,0,0,1,1,3,0,3,5,1,3,1,2,2,4,4,2,0,82,0,0,0,0,0,10,0,6,4
20,3,57.0,6420,1,0,3,0,3,0,7,2,1,1,3,6,1952,1952,1,0,10,1,0.0,3,3,2,0,1,2,3,210,0,219,980,0,1,1,0,0,0,1148,0,1,1,0,2,0,3,5,0,2,5,2,1,4,4,2,0,0,0,0,0,0,0,9,0,6,4
20,3,91.0,10437,1,0,3,0,3,0,15,2,1,1,6,5,1995,1995,3,0,6,1,660.0,2,2,2,2,3,1,2,1696,5,413,2109,0,0,1,3,0,0,2113,1,0,2,1,2,0,2,5,1,4,1,0,3,4,4,2,236,46,0,0,0,0,0,8,2,6,4
60,3,80.0,10793,1,3,3,0,3,0,14,6,1,4,3,4,1969,1969,4,0,11,1,263.0,3,3,1,3,3,3,4,493,1,0,780,0,0,1,3,840,0,1620,0,0,2,1,4,0,3,2,0,2,1,0,2,4,4,2,208,0,0,0,0,0,0,4,1,6,4
60,3,67.0,12936,1,0,3,0,1,0,14,2,1,4,4,5,1972,1972,1,0,4,1,0.0,3,3,1,3,1,3,1,593,5,130,723,0,3,1,3,660,0,1395,0,1,1,1,3,0,3,5,1,4,1,2,2,4,4,2,294,116,0,0,0,0,0,12,3,6,4
60,3,97.0,13478,1,0,3,0,0,0,16,2,1,4,8,4,2008,2008,1,0,3,2,420.0,0,3,2,0,3,1,2,1338,5,384,1722,0,0,1,3,568,0,2296,1,0,2,1,3,0,0,5,1,2,3,1,3,4,4,2,382,274,0,0,0,0,0,6,3,3,4
60,3,85.0,14191,1,3,3,0,3,0,23,2,1,4,6,4,2002,2002,1,0,9,1,0.0,2,3,2,2,3,3,5,0,5,967,967,0,0,1,3,915,0,1908,0,0,2,1,4,0,2,5,0,2,1,0,2,4,4,2,135,0,0,0,0,0,0,4,4,6,4
80,3,80.0,8816,1,3,3,0,3,0,4,2,1,6,4,6,1971,1971,1,0,4,1,80.0,3,3,1,3,3,0,2,504,5,506,1010,0,2,1,3,0,0,1052,1,0,1,0,3,0,3,5,0,2,1,2,2,4,4,2,0,0,0,0,0,0,0,6,4,6,4
20,3,65.0,8125,1,3,3,0,3,0,20,2,1,1,4,4,1994,1998,1,0,4,1,258.0,3,3,2,2,3,3,2,1138,5,270,1408,0,0,1,3,0,0,1679,1,0,2,0,3,0,2,5,1,1,1,1,2,4,4,2,224,42,0,0,0,0,0,10,2,6,4
30,4,40.0,3636,1,3,3,0,3,0,9,2,1,1,2,3,1922,1950,1,0,0,1,0.0,3,3,0,3,0,3,5,0,5,796,796,0,1,0,3,0,0,796,0,0,1,0,2,0,3,5,0,2,1,2,0,4,4,0,0,0,100,0,0,0,0,1,2,6,4
60,1,67.0,7050,1,3,3,0,3,0,21,2,1,4,5,4,2001,2001,1,0,9,1,0.0,2,3,2,2,3,3,2,738,5,319,1057,0,0,1,3,872,0,1929,1,0,2,1,3,0,2,5,1,4,1,0,2,4,4,2,0,235,0,0,0,0,0,5,1,6,4
90,3,65.0,8944,1,3,3,0,3,0,12,2,1,1,3,4,1967,1967,1,0,7,1,0.0,3,3,1,3,3,3,5,0,5,1584,1584,0,3,1,3,0,0,1584,0,0,2,0,4,1,3,4,0,2,5,2,3,4,4,2,0,152,0,0,0,0,0,4,3,6,4
80,3,67.0,10246,1,0,3,0,1,0,19,2,1,6,2,8,1965,2001,1,0,9,1,0.0,3,2,1,3,1,0,2,648,5,0,648,0,0,1,3,0,0,960,1,1,0,0,0,0,3,5,0,2,1,2,1,4,4,2,88,0,0,0,0,0,0,5,0,6,4
20,3,89.0,10680,1,3,3,0,3,0,12,2,1,1,3,2,1951,1951,3,0,10,1,44.0,3,3,1,3,0,3,3,756,5,1380,2136,0,3,0,0,0,0,2136,0,0,2,0,4,0,3,4,0,2,5,2,2,4,4,2,0,30,0,0,0,0,0,10,0,6,4
60,3,60.0,21930,1,2,3,0,3,0,8,6,1,4,3,4,2005,2005,1,0,9,1,0.0,2,3,2,2,1,0,5,0,5,732,732,0,0,1,3,1104,0,1838,0,0,2,1,4,0,3,5,1,2,3,0,2,4,4,2,100,40,0,0,0,0,0,7,0,6,4
60,3,67.0,28698,1,1,2,0,1,2,4,2,1,4,3,4,1967,1967,0,1,7,1,0.0,3,3,2,3,1,1,3,249,0,0,1013,0,3,1,3,966,0,2126,0,1,2,1,3,0,3,3,0,2,1,0,2,4,4,2,486,0,0,0,225,0,0,6,3,6,0
60,3,85.0,16056,1,0,3,0,3,0,22,2,1,4,7,4,2005,2006,3,0,3,2,208.0,2,3,2,0,3,0,2,240,5,1752,1992,0,0,1,3,876,0,2868,0,0,3,1,4,0,0,5,1,2,3,0,3,4,4,2,214,108,0,0,0,0,0,7,0,4,5
20,3,71.0,7064,1,3,3,0,3,0,19,2,1,1,3,5,1977,1977,1,0,7,1,153.0,3,3,1,3,3,3,1,560,5,420,980,0,3,1,3,0,0,980,0,0,1,0,3,0,3,5,0,2,5,2,2,4,4,2,192,0,0,0,0,0,0,7,3,6,4
80,3,70.0,7910,1,3,3,0,3,0,12,2,1,6,3,4,1960,1960,3,0,2,1,0.0,3,3,1,3,3,3,0,666,5,409,1075,0,2,1,3,0,0,1507,0,0,2,0,4,0,3,0,0,2,2,2,1,4,4,2,0,0,0,0,0,0,0,8,2,6,4
60,3,67.0,11075,1,0,3,0,3,1,11,2,1,4,3,3,1969,1969,1,0,4,1,232.0,3,3,1,3,3,0,0,562,3,29,784,0,0,1,3,800,0,1968,0,1,2,1,4,0,3,3,1,3,1,1,2,4,4,2,305,189,0,0,0,0,1,9,2,6,4
20,3,118.0,13704,1,0,3,0,0,0,5,2,1,1,5,4,2001,2002,1,0,9,1,150.0,2,3,2,2,3,3,5,0,5,1541,1541,0,0,1,3,0,0,1541,0,0,2,0,3,0,2,5,1,4,1,1,3,4,4,2,468,81,0,0,0,0,0,1,0,6,4
20,3,67.0,6853,1,0,3,0,3,0,23,2,1,1,6,4,2001,2002,1,0,9,1,136.0,2,3,2,0,3,3,2,1005,5,262,1267,0,0,1,3,0,0,1296,1,0,2,0,2,0,2,5,0,2,1,0,2,4,4,2,192,25,0,0,0,0,0,6,3,6,4
85,3,73.0,9069,1,3,3,0,3,0,20,2,1,5,4,5,1992,1992,1,0,4,1,0.0,3,3,2,2,3,0,2,747,5,189,936,0,0,1,3,0,0,996,1,0,1,0,2,0,2,5,0,2,1,2,2,4,4,2,120,0,0,0,0,0,0,4,4,6,4
20,3,67.0,7153,1,3,3,0,3,0,20,2,1,1,4,4,1991,1991,1,0,4,1,88.0,3,3,1,2,3,3,2,1200,5,78,1278,0,2,1,3,0,0,1294,1,0,2,0,3,0,2,5,0,2,1,1,2,4,4,2,112,51,0,0,0,0,0,6,2,6,4
75,3,60.0,6204,1,3,0,0,3,0,18,2,1,2,2,4,1912,1950,1,0,10,1,0.0,2,3,2,3,0,3,5,0,5,795,795,0,3,0,3,795,7,2230,1,0,1,0,5,0,3,5,0,2,5,2,1,4,2,2,0,188,0,0,0,0,0,3,0,6,4
60,3,65.0,8366,1,0,3,0,3,0,20,2,1,4,4,4,2004,2004,1,0,9,1,0.0,2,3,2,2,3,3,5,0,5,798,798,0,0,1,3,842,0,1640,0,0,2,1,3,0,2,5,0,2,1,1,2,4,4,2,138,45,0,0,0,0,0,12,2,6,4
20,3,50.0,5000,1,3,2,0,3,1,3,2,1,1,0,2,1946,1950,1,0,9,1,0.0,1,1,3,3,3,3,5,0,5,0,0,0,1,0,1,0,0,334,0,0,1,0,1,0,1,5,0,2,1,2,0,4,4,0,0,0,0,0,0,0,0,1,1,6,4
20,3,67.0,8978,1,0,3,0,0,0,19,2,1,1,3,4,1968,1968,1,0,7,1,0.0,3,3,2,3,3,3,5,0,5,948,948,0,3,1,3,0,0,948,0,0,1,0,3,0,3,5,0,2,1,2,1,4,4,2,147,0,0,0,0,0,0,5,1,6,3
80,3,67.0,12328,1,0,3,0,3,0,11,2,1,6,4,4,1976,1976,1,0,4,1,335.0,3,3,1,3,3,0,2,539,5,473,1012,0,3,1,3,0,0,1034,1,0,1,0,3,0,3,5,0,2,1,2,3,4,4,2,0,0,0,0,0,0,0,5,4,6,4
50,3,75.0,9525,1,3,3,0,3,0,7,2,1,0,4,3,1954,1972,1,0,10,1,0.0,3,3,1,3,0,3,4,444,5,550,994,0,2,1,3,639,0,1855,0,0,2,0,4,0,3,5,0,2,1,2,1,4,4,2,182,0,0,0,0,0,0,10,0,6,4
60,3,44.0,9548,1,0,3,0,1,0,5,2,1,4,5,5,2003,2003,1,0,9,1,223.0,2,3,2,2,3,3,2,483,5,458,941,0,0,1,3,888,0,1829,1,0,2,1,3,0,2,5,1,4,1,1,2,4,4,2,192,39,0,0,0,0,0,1,4,6,4
20,4,50.0,6000,1,3,3,0,0,0,17,2,1,1,2,6,1954,2000,1,0,6,1,0.0,3,3,1,3,3,3,5,0,5,901,901,0,0,1,3,0,0,901,0,0,1,0,2,0,3,5,0,2,5,2,1,1,4,2,0,0,0,0,0,0,0,8,2,6,4
190,3,67.0,164660,0,0,1,0,0,2,23,2,1,0,3,5,1965,1965,1,0,7,1,0.0,3,3,1,3,3,1,0,1249,1,103,1499,0,0,1,3,167,0,1786,2,0,2,0,3,0,3,5,2,2,1,0,2,4,4,2,670,0,0,0,0,0,4,8,2,6,4
20,3,92.0,11932,1,3,3,0,2,0,21,1,1,1,6,4,2007,2008,1,0,9,2,186.0,2,3,2,2,3,3,5,0,5,1580,1580,0,0,1,3,0,0,1580,0,0,2,0,3,0,2,5,0,2,1,1,3,4,4,2,0,24,0,0,0,0,0,6,2,2,5
20,3,60.0,7200,1,3,3,0,3,0,12,2,1,1,3,4,1950,1950,3,0,6,1,0.0,3,3,1,3,3,3,5,0,5,0,0,0,2,1,3,0,0,1048,0,0,1,0,3,0,3,2,0,2,5,2,2,4,4,2,0,27,0,0,0,0,0,7,2,6,4
160,4,24.0,2016,1,3,3,0,3,0,2,2,1,4,3,4,1970,1970,1,0,4,1,304.0,3,3,1,3,3,3,5,0,5,630,630,0,3,1,3,672,0,1302,0,0,2,1,3,0,3,5,0,2,5,2,2,4,4,2,0,0,0,0,0,0,0,4,1,6,4
20,3,72.0,9000,1,3,3,0,3,0,12,2,1,1,4,4,1956,1956,1,0,10,1,74.0,3,3,1,2,3,3,3,616,5,580,1196,0,2,1,0,0,0,1196,1,0,1,0,2,0,3,5,1,2,1,1,1,4,4,2,0,44,0,0,0,0,0,5,2,6,4
20,3,70.0,7560,1,3,3,0,3,0,12,2,1,1,3,5,1958,1965,3,0,2,1,0.0,3,3,1,3,3,3,3,504,5,525,1029,0,3,1,3,0,0,1339,0,0,1,0,3,0,3,2,0,2,1,2,1,4,4,2,0,0,0,0,0,0,0,5,3,0,0
160,4,24.0,1950,1,3,3,0,3,0,1,2,1,4,4,5,1980,1980,1,0,6,1,0.0,3,2,1,2,3,3,3,81,2,23,716,0,3,1,3,840,0,1556,1,0,2,1,3,0,3,5,1,4,1,0,2,4,4,2,161,0,0,0,0,0,0,7,2,0,4
60,3,82.0,9950,1,0,3,0,3,0,15,2,1,4,5,4,1995,1995,1,0,9,1,290.0,2,3,2,2,3,3,2,565,5,638,1203,0,0,1,3,1306,0,2520,0,0,2,1,4,0,2,5,1,4,1,1,3,4,4,2,224,114,0,0,0,0,0,6,1,6,0
60,3,42.0,26178,1,0,3,0,3,1,23,2,1,4,5,4,1989,1990,3,0,6,1,293.0,2,3,2,2,3,1,2,965,5,245,1210,0,0,1,3,1281,0,2519,1,0,2,1,4,0,2,5,2,2,1,1,2,4,4,2,320,27,0,0,0,0,0,4,0,6,4
